,ano,codigo,rdeser,total_matriculados,mat_mas,promedio_edad,municipal,particular,arancel,total_titulados,rmat_tit,clasif_inst_n3,area_ocde,modalidad,jornada,acreditada
0,2014,I23S3C247J1V1,Muy Bajo,Muy Bajo,Bajo,Alto,Muy Bajo,Alto,Alto,Muy Bajo,Muy Bajo,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
1,2014,I34S1C42J1V1,Muy Bajo,Alto,Medio,Muy Bajo,Muy Bajo,Alto,Alto,Alto,Medio,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
2,2014,I34S1C41J1V1,Bajo,Alto,Bajo,Bajo,Muy Bajo,Alto,Alto,Alto,Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
3,2014,I34S1C40J1V1,Muy Bajo,Alto,Medio Alto,Muy Bajo,Muy Bajo,Alto,Alto,Alto,Medio,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
4,2014,I69S1C8J2V1,Alto,Muy Bajo,Medio,Alto,Muy Bajo,Medio Alto,Medio Alto,Muy Bajo,Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,acreditado
6,2014,I69S1C80J1V1,Bajo,Medio Alto,Medio Alto,Bajo,Medio,Alto,Alto,Bajo,Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
9,2014,I34S1C225J1V1,Medio Alto,Muy Bajo,Medio,Alto,Muy Bajo,Medio,Alto,Bajo,Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
11,2014,I34S1C219J1V1,Muy Bajo,Muy Bajo,Bajo,Alto,Muy Bajo,Alto,Muy Bajo,Medio Alto,Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
14,2014,I34S1C182J2V1,Alto,Muy Bajo,Muy Bajo,Alto,Muy Bajo,Medio Alto,Medio,Muy Bajo,Muy Bajo,Universidades Privadas,EDUCACI�N,PRESENCIAL,VESPERTINO,no acreditado
23,2014,I34S1C12J1V1,Muy Bajo,Alto,Muy Bajo,Bajo,Muy Bajo,Alto,Alto,Alto,Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
24,2014,I34S1C129J1V1,Bajo,Muy Bajo,Medio Alto,Alto,Muy Bajo,Alto,Medio Alto,Muy Bajo,Medio Alto,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
25,2014,I34S1C128J1V2,Medio Alto,Muy Bajo,Muy Bajo,Alto,Bajo,Alto,Alto,Bajo,Muy Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
26,2014,I34S1C127J1V2,Alto,Bajo,Medio,Alto,Muy Bajo,Alto,Medio Alto,Muy Bajo,Alto,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
