ano,codigo,rdeser,total_matriculados,mat_mas,promedio_edad,municipal,particular,arancel,total_titulados,rmat_tit,clasif_inst_n3,area_ocde,modalidad,jornada,acreditada
2014,I23S3C247J1V1,0,19,0.368421052631579,37.5,0.0526315789473684,0.263157894736842,4530000,5,0.2,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,2
2014,I34S1C42J1V1,0.0566037735849057,954,0.568134171907757,21.2,0.0136268343815514,0.923480083857442,4414964,139,0.575539568345324,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,2
2014,I34S1C41J1V1,0.152905198776758,654,0.403669724770642,21.6,0.0152905198776758,0.902140672782875,5809163,80,0.4,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,1
2014,I34S1C40J1V1,0.0107784431137725,835,0.596407185628743,20.9,0.0395209580838323,0.85748502994012,4182597,104,0.567307692307692,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,1
2014,I69S1C8J2V1,0.475,40,0.475,32.3,0.125,0.075,1925000,3,0.333333333333333,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,1
2014,I69S1C89J2V1,0.4,40,0.7,37.2,,,2615000,2,1,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,1
2014,I69S1C80J1V1,0.123809523809524,210,0.666666666666667,21.9,0.252380952380952,0.142857142857143,3277300,10,0.4,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,1
2014,I38S1C116J3V1,0.285714285714286,21,0.428571428571429,36.8,,,1120000,2,0.5,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,SEMIPRESENCIAL,SEMIPRESENCIAL,2
2014,I34S1C232J1V1,0,1,1,37,,,1742749,1,1,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,2
2014,I34S1C225J1V1,0.391304347826087,23,0.521739130434783,39,0.0869565217391304,0.0434782608695652,3020765,9,0.444444444444444,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,2
2014,I34S1C220J1V1,0,1,,41,,,3020765,1,1,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,2
2014,I34S1C219J1V1,0,30,0.366666666666667,28.9,0.0666666666666667,0.7,0,30,0.366666666666667,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,2
2014,I34S1C184J2V1,0.108695652173913,46,0.0652173913043478,36.8,,0.239130434782609,1858932,13,,Universidades Privadas,EDUCACI�N,PRESENCIAL,VESPERTINO,2
2014,I34S1C183J2V1,0.0394736842105263,76,,28.9,0.0394736842105263,0.605263157894737,1835695,20,,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,2
2014,I34S1C182J2V1,0.416666666666667,36,0.194444444444444,37.1,0.0555555555555556,0.111111111111111,1742749,4,0.25,Universidades Privadas,EDUCACI�N,PRESENCIAL,VESPERTINO,2
2014,I34S1C179J1V1,0.48,50,0.44,21.3,0.08,0.64,3253131,3,,Universidades Privadas,EDUCACI�N,PRESENCIAL,DIURNO,1
2014,I34S1C177J1V1,0,13,,27.2,,0.615384615384615,3229894,6,0.166666666666667,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,2
2014,I34S1C171J1V1,0.625,32,0.5,43,,0.15625,1045649,1,1,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,2
2014,I34S1C15J1V1,0.732673267326733,101,0.752475247524752,36.5,,0.0396039603960396,10456493,27,0.814814814814815,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,2
2014,I34S1C156J1V1,0,5,0.8,41.4,,,5228246,2,1,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,2
2014,I34S1C149J1V1,0.359375,64,0.1875,38.5,,0.171875,1707894,20,0.2,Universidades Privadas,EDUCACI�N,PRESENCIAL,DIURNO,2
2014,I34S1C13J1V1,0.0833333333333333,24,0.75,40.8,,0.166666666666667,1815363,3,1,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,2
2014,I34S1C130J1V1,0.0416666666666667,24,0.375,29.6,0.0416666666666667,0.416666666666667,2137772,6,,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,2
2014,I34S1C12J1V1,0.0401606425702811,498,0.267068273092369,21.6,0.0301204819277108,0.887550200803213,6250659,72,0.333333333333333,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,1
2014,I34S1C129J1V1,0.12,25,0.76,30.4,0.04,0.36,2137772,6,0.833333333333333,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,2
2014,I34S1C128J1V2,0.36,25,0.2,27.5,0.16,0.52,3229894,8,0.125,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,2
2014,I34S1C127J1V2,0.536231884057971,69,0.521739130434783,32.7,0.0144927536231884,0.333333333333333,2323665,1,1,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,2
2014,I34S1C122J1V1,0.2,10,0.3,27,0.1,0.6,3485498,2,,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,1
2014,I34S1C121J1V1,0.423076923076923,26,0.346153846153846,28.9,0.0384615384615385,0.461538461538462,3485498,3,,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,1
2014,I34S1C119J1V1,0.142857142857143,14,0.5,28.3,,0.642857142857143,3485498,3,0.666666666666667,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,2
2014,I34S1C118J1V1,0.0675675675675676,74,0.175675675675676,37.4,0.0540540540540541,0.135135135135135,882993,37,0.189189189189189,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,2
2014,I34S1C114J1V1,0.543859649122807,57,0.824561403508772,36.2,0.0175438596491228,0.087719298245614,6273896,26,0.807692307692308,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,2
2014,I34S1C111J1V1,0.0476190476190476,21,0.19047619047619,26.6,0.142857142857143,0.19047619047619,1324489,7,,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,2
2014,I34S1C10J1V2,0.0188172043010753,372,0.163978494623656,22.1,0.0188172043010753,0.868279569892473,4182597,63,0.0634920634920635,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,1
2014,I31S1C6J2V1,0.133333333333333,105,0.619047619047619,28.1,0.171428571428571,0.0380952380952381,1201287,25,0.56,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,2
2014,I31S1C6J1V1,0.21875,96,0.59375,22.3,0.177083333333333,0.09375,1279033,15,0.4,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,2
2014,I34S1C109J1V1,0,18,0.111111111111111,30.1,0.111111111111111,0.0555555555555556,1556856,17,0.117647058823529,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,2
2014,I34S1C101J1V1,0.161290322580645,62,0.338709677419355,37.7,0.0483870967741935,0.0967741935483871,3136948,28,0.464285714285714,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,1
2014,I45S4C7J1V2,0.166058394160584,548,0.784671532846715,21.2,0.0364963503649635,0.779197080291971,4907000,58,0.689655172413793,Universidades Privadas,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,1
2014,I45S4C501J1V1,0.0344827586206897,29,0.206896551724138,29.9,0.103448275862069,0.310344827586207,980000,28,0.178571428571429,Universidades Privadas,EDUCACI�N,PRESENCIAL,DIURNO,2
2014,I31S2C51J1V1,0.307692307692308,325,0.547692307692308,23.2,0.341538461538462,0.113846153846154,4684967,13,0.538461538461538,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,1
2014,I45S4C460J1V1,0.423076923076923,26,0.5,26.3,0.230769230769231,0.307692307692308,1390000,15,0.466666666666667,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,2
2014,I45S4C408J1V1,0.0526315789473684,95,0.852631578947368,36.4,0.0105263157894737,0.0421052631578947,8521700,31,0.806451612903226,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,1
2014,I45S4C398J1V1,0.390909090909091,110,0.581818181818182,36.6,0.0181818181818182,0.109090909090909,2400000,10,0.7,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,2
2014,I45S4C391J1V1,0.0666666666666667,30,0.5,37.4,0.1,0.0666666666666667,1400000,15,0.666666666666667,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,2
2014,I45S4C363J5V1,0.0714285714285714,28,0.428571428571429,38.5,,,2533333,19,0.368421052631579,Universidades Privadas,EDUCACI�N,PRESENCIAL,OTRO,2
2014,I45S4C287J1V1,0.176470588235294,51,0.627450980392157,29.9,0.0392156862745098,0.431372549019608,6500000,8,0.625,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,2
2014,I45S4C265J5V1,0,77,0.363636363636364,34.3,0.012987012987013,0.142857142857143,3914000,12,0.5,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,OTRO,2
2014,I4S7C6J1V1,0.21656050955414,314,0.36624203821656,21.9,0.219745222929936,0.054140127388535,2414000,27,0.222222222222222,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,2
2014,I46S4C188J2V1,0.425531914893617,47,0.936170212765957,34.1,0.170212765957447,,1900000,10,0.9,Universidades Privadas,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,VESPERTINO,2
2014,I45S4C247J5V1,0.21875,64,0.875,37,0.015625,0.015625,4958080,1,,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,OTRO,2
2014,I45S4C246J1V1,0.107142857142857,56,0.0178571428571429,31.8,0.0178571428571429,0.464285714285714,2066667,21,0.0476190476190476,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,2
2014,I45S4C227J1V1,0.363636363636364,44,0.340909090909091,29.1,0.0227272727272727,0.431818181818182,5800000,13,0.307692307692308,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,2
2014,I45S4C222J2V1,0.108108108108108,74,0.851351351351351,36.6,0.0135135135135135,0.0540540540540541,2765679,12,0.916666666666667,Universidades Privadas,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,VESPERTINO,1
2014,I45S4C207J1V1,0.130434782608696,23,0.217391304347826,36.6,,0.217391304347826,2334000,5,,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,2
2014,I45S4C206J5V1,0.27906976744186,43,0.116279069767442,36.2,,0.27906976744186,2776000,2,,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,OTRO,2
2014,I45S4C203J1V1,0.225352112676056,142,0.823943661971831,35,0.0140845070422535,0.119718309859155,8521700,1,1,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,1
2014,I45S4C17J1V2,0.0363247863247863,468,0.213675213675214,21.9,0.0192307692307692,0.856837606837607,4892000,65,0.169230769230769,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,1
2014,I45S2C98J1V1,0.206349206349206,315,0.0476190476190476,21.1,0.0253968253968254,0.796825396825397,4240000,12,,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,2
2014,I45S2C97J1V1,0.182926829268293,82,0.573170731707317,21.5,0.024390243902439,0.731707317073171,4970000,12,0.5,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,2
2014,I45S2C5J1V1,0.0521739130434783,230,0.369565217391304,21.6,0.0347826086956522,0.865217391304348,4575000,36,0.333333333333333,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,1
2014,I46S25C60J5V1,0.0144927536231884,69,0.231884057971014,32,0.173913043478261,,1080000,11,0.454545454545455,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,OTRO,2
2014,I45S2C54J1V1,0.223880597014925,268,0.0708955223880597,21,0.0447761194029851,0.735074626865672,4240000,15,0.0666666666666667,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,2
2014,I45S2C53J1V1,0.17983651226158,367,0.403269754768392,21.3,0.0626702997275204,0.784741144414169,4240000,10,0.3,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,2
2014,I45S2C4J1V1,0.143497757847534,446,0.535874439461883,21.5,0.0291479820627803,0.804932735426009,4830000,37,0.72972972972973,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,2
2014,I45S2C38J1V1,0.126582278481013,553,0.361663652802893,21.5,0.0054249547920434,0.891500904159132,6625000,43,0.325581395348837,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,2
2014,I45S2C33J1V1,0.133676092544987,389,0.0539845758354756,21.3,0.0796915167095116,0.640102827763496,4240000,54,0.0185185185185185,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,2
2014,I45S2C32J1V1,0.0313531353135314,606,0.481848184818482,22.2,0.0231023102310231,0.909240924092409,6570000,66,0.363636363636364,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,1
2014,I45S2C2J1V1,0.133828996282528,1614,0.714374225526642,21.2,0.00867410161090459,0.929368029739777,5065000,143,0.72027972027972,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,2
2014,I45S2C215J1V1,0.319148936170213,47,0.148936170212766,29.7,0.0212765957446809,0.553191489361702,3100000,30,0.266666666666667,Universidades Privadas,EDUCACI�N,PRESENCIAL,DIURNO,1
2014,I45S2C101J1V1,0.240157480314961,254,0.389763779527559,21.2,0.137795275590551,0.397637795275591,4240000,34,0.323529411764706,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,2
2014,I47S3C86J1V1,0.631578947368421,76,0.802631578947368,22.5,0.368421052631579,,1200000,12,0.916666666666667,Universidades Privadas,SERVICIOS,PRESENCIAL,DIURNO,2
2014,I47S3C85J2V1,0.810810810810811,37,0.945945945945946,21.9,0.27027027027027,,1200000,2,1,Universidades Privadas,CIENCIAS,PRESENCIAL,VESPERTINO,2
2014,I47S3C72J2V1,0.225806451612903,124,0.604838709677419,24.8,0.274193548387097,0.0161290322580645,1200000,21,0.571428571428571,Universidades Privadas,SERVICIOS,PRESENCIAL,VESPERTINO,2
2014,I47S3C71J2V1,0.46875,32,0.71875,26.2,0.3125,,1200000,4,0.75,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,2
2014,I47S3C70J2V1,0.54320987654321,81,0.555555555555556,26.2,0.185185185185185,0.0987654320987654,1200000,9,0.555555555555556,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,2
2014,I47S3C63J2V1,0.379310344827586,29,0.206896551724138,30,0.137931034482759,,1200000,6,0.333333333333333,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,VESPERTINO,2
2014,I47S3C45J1V1,0.0408653846153846,416,0.158653846153846,23.3,0.170673076923077,0.0288461538461538,2835000,83,0.156626506024096,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,2
2014,I47S3C43J1V1,0.0454545454545455,110,0.336363636363636,23.9,0.181818181818182,0.0909090909090909,2630000,11,0.363636363636364,Universidades Privadas,AGRICULTURA,PRESENCIAL,DIURNO,2
2014,I40S1C8J2V1,0.0675675675675676,74,0.689189189189189,34.8,0.108108108108108,,2333000,3,0.333333333333333,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,2
2014,I40S1C8J1V1,0.176923076923077,130,0.569230769230769,24.7,0.238461538461538,0.107692307692308,2333000,12,0.166666666666667,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,2
2014,I47S3C1J1V1,0.333333333333333,93,0.56989247311828,22.4,0.172043010752688,0.043010752688172,2625000,15,0.466666666666667,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,2
2014,I47S1C8J1V1,0.056657223796034,353,0.0254957507082153,21.5,0.0254957507082153,0.804532577903683,3980000,58,0.0344827586206897,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,2
2014,I34S1C202J1V1,0.625,8,0.25,33.6,,0.625,2323665,2,1,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,2
2014,I47S1C62J1V1,0.285714285714286,105,0.0476190476190476,21.8,0.0380952380952381,0.714285714285714,3840000,8,,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,2
2014,I47S1C60J1V1,0.446808510638298,94,0.914893617021277,22.3,0.212765957446809,0.340425531914894,2260000,12,1,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,2
2014,I47S1C28J1V1,0.0344827586206897,319,0.235109717868339,23.8,0.0783699059561129,0.598746081504702,3980000,75,0.146666666666667,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,2
2014,I47S1C26J1V1,0.14527027027027,296,0.483108108108108,22.2,0.0709459459459459,0.591216216216216,2910000,68,0.382352941176471,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,2
2014,I47S1C23J1V1,0.0780141843971631,141,0.212765957446809,22.7,0.049645390070922,0.631205673758865,2710000,27,0.259259259259259,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,2
2014,I47S1C1J2V2,0.545454545454545,121,0.59504132231405,32.7,0.0826446280991736,0.00826446280991736,2197500,8,0.25,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,2
2014,I34S1C8J1V2,0.203125,192,0.348958333333333,20.7,0.015625,0.802083333333333,4066414,16,0.3125,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,2
2014,I34S1C6J1V1,0.0982142857142857,448,0.0535714285714286,20.9,0.113839285714286,0.607142857142857,3462261,68,0.0147058823529412,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,1
2014,I3S1C8J1V1,0.0696594427244582,646,0.447368421052632,21.6,0.0743034055727554,0.585139318885449,3814000,105,0.428571428571429,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,1
2014,I3S1C6J2V1,0.0623853211009174,545,0.513761467889908,24.9,0.176146788990826,0.0623853211009174,2279000,79,0.481012658227848,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,1
2014,I3S1C67J1V1,0.0279627163781625,751,0.304926764314248,21.5,0.0732356857523302,0.640479360852197,3928000,122,0.311475409836066,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,1
2014,I3S1C63J1V1,0.178571428571429,476,0.399159663865546,21.8,0.279411764705882,0.0735294117647059,3498000,44,0.159090909090909,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,2
2014,I3S1C62J1V1,0.132307692307692,325,0.544615384615385,21.6,0.0892307692307692,0.52,3481000,33,0.606060606060606,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,1
2014,I3S1C57J1V1,0.142857142857143,245,0.126530612244898,22,0.142857142857143,0.26530612244898,2448000,32,0.0625,Universidades Privadas,EDUCACI�N,PRESENCIAL,DIURNO,1
2014,I3S1C56J1V1,0.00210526315789474,475,0.4,22.5,0.193684210526316,0.326315789473684,6091000,82,0.365853658536585,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,1
2014,I3S1C55J1V1,0.0570409982174688,561,0.549019607843137,22.9,0.221033868092692,0.417112299465241,6091000,62,0.596774193548387,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,1
